Manikin #3.4.32
Interval (sec),10
Time,Runtime,Bodysegments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All,,,,,,,,Group A,,,,,,,,Group B,,,,,,,,L. foot,,,,R. foot,,,,L. foreleg,,,,R. foreleg,,,,L. front thigh,,,,R. front thigh,,,,L. Back thigh,,,,R. Back thigh,,,,Pelvis,,,,Back side,,,,Head,,,,Crown,,,,L. Hand,,,,R. Hand,,,,L. Forearm,,,,R. Forearm,,,,L. Upper arm,,,,R. Upper arm,,,,Chest Left,,,,Chest Right,,,,Back Left,,,,Back Right,,,,Stability,
,(sec),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),PMV,PPD (%),SET* (degC),ET* (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),T (degC),P (W/m²),Clo (clo),Teq (degC),,
13/12/2024 4:18:08 PM,97437,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,54.7,,33.4,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.3,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.8,,34.5,34.3,38.1,,34.3,34.5,35.6,,34.5,31.7,87.8,,31.7,31.8,84.5,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.0,32.8,67.3,,32.7,33.6,51.0,,33.6,34.0,44.8,,34.0,34.5,35.9,,34.5,34.5,34.4,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:18:13 PM,97442,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,54.8,,33.4,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.4,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.8,,34.5,34.3,38.1,,34.3,34.5,35.6,,34.5,31.7,87.8,,31.7,31.8,84.5,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.0,32.8,67.1,,32.7,33.6,51.0,,33.6,34.0,44.8,,34.0,34.5,35.9,,34.5,34.5,34.4,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:18:23 PM,97452,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,54.6,,33.4,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.5,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.8,,34.5,34.3,38.2,,34.3,34.5,35.7,,34.5,31.7,87.8,,31.7,31.8,85.5,,31.8,32.1,79.9,,32.1,33.0,62.4,,33.0,32.8,67.3,,32.8,33.6,51.3,,33.6,34.0,44.8,,34.0,34.5,36.0,,34.5,34.5,34.4,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:18:33 PM,97462,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,54.7,,33.4,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.5,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.8,,34.5,34.3,38.1,,34.3,34.5,35.7,,34.5,31.7,87.8,,31.7,31.8,84.5,,31.8,32.1,79.8,,32.1,33.1,61.9,,33.0,32.8,67.1,,32.8,33.6,51.2,,33.6,34.0,44.8,,34.0,34.5,36.0,,34.5,34.5,34.4,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:18:43 PM,97472,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,54.6,,33.4,33.5,53.6,,33.5,32.9,65.2,,32.9,33.0,62.4,,33.0,33.5,54.3,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.8,,34.5,34.3,38.2,,34.3,34.5,35.8,,34.5,31.7,87.8,,31.7,31.8,84.5,,31.8,32.1,79.3,,32.1,33.0,62.4,,33.0,32.8,67.1,,32.8,33.6,51.3,,33.6,34.0,44.8,,34.0,34.5,36.0,,34.5,34.5,34.5,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:18:53 PM,97482,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,54.6,,33.4,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.4,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.9,,34.5,34.3,38.3,,34.3,34.5,35.9,,34.5,31.6,88.5,,31.7,31.8,85.2,,31.8,32.1,79.8,,32.1,33.0,62.3,,33.0,32.7,67.6,,32.8,33.6,51.3,,33.6,34.0,44.8,,34.0,34.4,36.1,,34.5,34.5,34.6,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:19:03 PM,97492,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.4,54.6,,33.4,33.5,53.6,,33.5,32.9,65.2,,32.9,33.0,62.4,,33.0,33.4,54.6,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.9,,34.5,34.3,38.3,,34.3,34.4,36.1,,34.5,31.6,88.5,,31.6,31.8,85.1,,31.8,32.1,79.8,,32.1,33.0,62.0,,33.0,32.8,67.2,,32.8,33.6,51.3,,33.6,34.0,44.8,,34.0,34.4,36.1,,34.5,34.5,34.7,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:19:13 PM,97502,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.4,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.5,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.0,,34.5,34.3,38.2,,34.3,34.4,36.2,,34.5,31.6,88.5,,31.6,31.8,84.5,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.0,32.8,67.1,,32.8,33.7,50.8,,33.6,34.0,44.8,,34.0,34.4,36.1,,34.4,34.5,34.6,,34.5,34.5,34.8,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:19:23 PM,97512,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.4,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.4,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,36.0,,34.5,34.3,38.4,,34.3,34.4,36.3,,34.5,31.6,88.5,,31.6,31.8,84.5,,31.8,32.1,79.8,,32.1,33.1,61.9,,33.0,32.8,67.3,,32.8,33.6,51.3,,33.6,34.0,44.8,,34.0,34.4,36.1,,34.4,34.5,34.6,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:19:33 PM,97522,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.4,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.5,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.9,,34.5,34.3,38.4,,34.3,34.4,36.3,,34.5,31.6,88.5,,31.6,31.8,84.8,,31.8,32.1,79.8,,32.1,33.0,62.0,,33.0,32.8,67.1,,32.8,33.6,51.3,,33.6,34.0,44.8,,34.0,34.4,36.2,,34.4,34.5,34.7,,34.5,34.5,35.0,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:19:43 PM,97532,33.6,51.1,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,54.8,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.1,,34.5,34.3,38.4,,34.3,34.4,36.3,,34.4,31.6,88.5,,31.6,31.8,85.1,,31.8,32.1,79.8,,32.1,33.0,62.4,,33.0,32.8,67.1,,32.8,33.6,51.3,,33.6,34.0,44.8,,34.0,34.4,36.2,,34.4,34.5,34.7,,34.5,34.5,35.0,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:19:53 PM,97542,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,54.7,,33.4,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.9,,34.5,34.3,38.3,,34.3,34.4,36.3,,34.4,31.6,88.5,,31.6,31.8,84.5,,31.8,32.1,79.8,,32.1,33.0,62.1,,33.0,32.8,67.2,,32.8,33.6,51.3,,33.6,34.0,44.8,,34.0,34.4,36.2,,34.4,34.5,34.7,,34.5,34.5,35.0,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:20:03 PM,97552,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,54.8,,33.4,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.1,,34.5,34.3,38.2,,34.3,34.4,36.3,,34.4,31.6,88.5,,31.6,31.8,84.5,,31.8,32.1,79.8,,32.1,33.0,62.0,,33.1,32.7,67.8,,32.8,33.6,50.9,,33.6,34.0,44.8,,34.0,34.4,36.2,,34.4,34.5,34.7,,34.5,34.5,35.0,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:20:13 PM,97562,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.4,54.6,,33.4,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.1,,34.5,34.3,38.4,,34.3,34.4,36.3,,34.4,31.6,88.5,,31.6,31.8,84.5,,31.8,32.1,79.8,,32.1,33.1,61.8,,33.1,32.8,67.5,,32.8,33.7,50.8,,33.6,34.0,44.8,,34.0,34.5,36.0,,34.4,34.5,34.7,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:20:23 PM,97572,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.3,,33.4,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,36.0,,34.4,34.3,38.3,,34.3,34.4,36.3,,34.4,31.6,88.5,,31.6,31.9,84.0,,31.8,32.1,78.8,,32.1,33.1,61.8,,33.1,32.8,67.0,,32.8,33.7,50.8,,33.6,34.0,44.8,,34.0,34.4,36.1,,34.4,34.5,34.7,,34.5,34.5,34.8,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:20:33 PM,97582,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.4,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.3,,33.4,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,36.0,,34.4,34.3,38.2,,34.3,34.4,36.3,,34.4,31.6,88.5,,31.6,31.9,83.9,,31.8,32.1,79.2,,32.1,33.1,61.8,,33.1,32.8,67.0,,32.8,33.7,50.8,,33.6,34.0,44.8,,34.0,34.4,36.1,,34.4,34.5,34.7,,34.5,34.5,34.8,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:20:43 PM,97592,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.4,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.3,,33.0,33.5,54.3,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,36.0,,34.4,34.3,38.3,,34.3,34.4,36.3,,34.4,31.6,88.5,,31.6,31.9,84.1,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.1,32.8,66.5,,32.8,33.7,50.8,,33.6,34.0,44.8,,34.0,34.5,36.0,,34.4,34.5,34.7,,34.5,34.5,34.8,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:20:53 PM,97602,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.2,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.3,,33.0,33.5,54.2,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,36.0,,34.4,34.3,38.3,,34.3,34.4,36.3,,34.4,31.6,88.9,,31.6,31.8,84.6,,31.8,32.1,79.8,,32.1,33.0,62.3,,33.1,32.8,67.1,,32.8,33.7,50.8,,33.7,34.0,44.8,,34.0,34.4,36.2,,34.4,34.5,34.7,,34.5,34.5,34.8,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:21:03 PM,97612,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.3,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.4,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.1,,34.4,34.3,38.3,,34.3,34.4,36.3,,34.4,31.6,88.6,,31.6,31.8,84.5,,31.8,32.1,79.8,,32.1,33.0,62.4,,33.1,32.8,66.9,,32.8,33.7,50.8,,33.7,34.0,44.8,,34.0,34.5,36.0,,34.4,34.5,34.7,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:21:13 PM,97622,33.6,51.0,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.2,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.3,,33.0,33.5,54.4,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.9,,34.4,34.3,38.3,,34.3,34.4,36.3,,34.4,31.6,89.2,,31.6,31.8,84.5,,31.8,32.1,79.8,,32.1,33.0,62.4,,33.0,32.8,66.5,,32.8,33.7,50.8,,33.7,34.0,44.8,,34.0,34.4,36.1,,34.4,34.5,34.7,,34.5,34.5,34.8,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:21:23 PM,97632,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.2,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.4,,33.0,33.5,54.3,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.3,,34.4,34.3,38.3,,34.3,34.4,36.3,,34.4,31.6,89.2,,31.6,31.8,84.5,,31.8,32.1,78.6,,32.1,33.1,61.9,,33.0,32.8,66.4,,32.8,33.7,50.8,,33.7,34.0,44.7,,34.0,34.5,36.0,,34.4,34.5,34.7,,34.5,34.5,34.8,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:21:33 PM,97642,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.3,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.3,,33.0,33.5,54.3,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.1,,34.4,34.3,38.4,,34.3,34.4,36.3,,34.4,31.6,89.2,,31.6,31.8,84.5,,31.8,32.1,78.6,,32.1,33.0,62.1,,33.0,32.8,66.4,,32.8,33.7,50.8,,33.7,34.0,44.6,,34.0,34.4,36.1,,34.4,34.5,34.7,,34.5,34.5,34.8,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:21:43 PM,97652,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.3,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.3,,33.0,33.5,54.2,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.1,,34.4,34.3,38.4,,34.3,34.4,36.3,,34.4,31.6,89.2,,31.6,31.8,84.5,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.0,32.8,66.4,,32.8,33.6,51.1,,33.7,34.0,44.5,,34.0,34.4,36.1,,34.4,34.5,34.7,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:21:53 PM,97662,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.2,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.3,,33.0,33.5,54.2,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.5,35.9,,34.4,34.3,38.4,,34.3,34.4,36.3,,34.4,31.6,89.2,,31.6,31.8,84.5,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.0,32.8,66.4,,32.8,33.7,50.8,,33.7,34.0,44.4,,34.0,34.4,36.1,,34.4,34.5,34.7,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:22:03 PM,97672,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.4,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.2,,33.0,33.5,54.2,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.1,,34.4,34.3,38.5,,34.3,34.4,36.3,,34.4,31.6,89.0,,31.6,31.9,83.9,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.0,32.8,66.4,,32.8,33.7,50.8,,33.7,34.0,44.4,,34.0,34.5,36.0,,34.4,34.5,34.7,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:22:13 PM,97682,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.4,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.0,,33.0,33.5,54.3,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.2,,34.4,34.3,38.4,,34.3,34.4,36.3,,34.4,31.6,89.1,,31.6,31.8,84.5,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.1,32.8,66.4,,32.8,33.6,51.1,,33.7,34.0,44.5,,34.0,34.4,36.1,,34.4,34.5,34.6,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:22:23 PM,97692,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.2,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.1,,33.0,33.5,54.2,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.1,,34.4,34.3,38.4,,34.3,34.4,36.3,,34.4,31.6,89.1,,31.6,31.8,84.5,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.1,32.8,66.4,,32.8,33.6,51.3,,33.6,34.0,44.4,,34.0,34.4,36.1,,34.4,34.5,34.6,,34.5,34.5,34.9,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:22:33 PM,97702,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.3,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.1,,33.0,33.5,54.3,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.2,,34.4,34.3,38.5,,34.3,34.4,36.3,,34.4,31.6,89.2,,31.6,31.8,84.5,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.1,32.8,66.4,,32.8,33.6,51.3,,33.6,34.0,44.3,,34.0,34.4,36.0,,34.4,34.5,34.6,,34.5,34.5,35.0,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:22:43 PM,97712,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.3,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.1,,33.0,33.5,54.2,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.1,,34.4,34.3,38.5,,34.3,34.4,36.3,,34.4,31.6,89.0,,31.6,31.8,84.5,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.1,32.8,66.4,,32.8,33.6,51.1,,33.6,34.0,44.3,,34.0,34.4,36.1,,34.4,34.5,34.6,,34.5,34.5,35.0,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:22:53 PM,97722,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.3,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.1,61.8,,33.0,33.5,54.2,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.2,,34.4,34.3,38.5,,34.3,34.4,36.3,,34.4,31.6,88.9,,31.6,31.8,84.5,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.1,32.8,66.4,,32.8,33.7,50.8,,33.6,34.0,44.2,,34.0,34.4,36.1,,34.4,34.5,34.5,,34.5,34.5,35.0,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:23:03 PM,97732,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.4,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.1,61.7,,33.0,33.5,54.2,,33.5,33.5,54.2,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.2,,34.4,34.3,38.5,,34.3,34.4,36.3,,34.4,31.6,89.2,,31.6,31.8,84.5,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.1,32.8,66.4,,32.8,33.7,50.8,,33.6,34.0,44.2,,34.0,34.5,36.0,,34.4,34.5,34.6,,34.5,34.5,35.0,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:23:13 PM,97742,33.6,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.4,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.0,62.0,,33.0,33.5,54.3,,33.5,33.5,54.1,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.2,,34.4,34.3,38.6,,34.3,34.4,36.3,,34.4,31.6,89.2,,31.6,31.8,85.0,,31.8,32.1,78.6,,32.1,33.1,61.8,,33.1,32.8,66.4,,32.8,33.7,50.8,,33.6,34.0,44.2,,34.0,34.5,36.0,,34.4,34.5,34.6,,34.5,34.5,35.0,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:23:23 PM,97752,33.7,50.9,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.5,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.1,61.8,,33.1,33.5,54.2,,33.5,33.5,53.7,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.2,,34.4,34.3,38.8,,34.3,34.4,36.3,,34.4,31.6,89.2,,31.6,31.8,84.3,,31.8,32.2,78.5,,32.2,33.1,61.8,,33.1,32.8,66.2,,32.8,33.7,50.8,,33.6,34.0,44.2,,34.0,34.4,36.1,,34.4,34.5,34.5,,34.5,34.5,35.0,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:23:33 PM,97762,33.7,50.8,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.3,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.1,61.8,,33.1,33.5,54.2,,33.5,33.5,53.7,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.1,,34.4,34.3,38.6,,34.3,34.4,36.3,,34.4,31.6,89.2,,31.6,31.8,84.5,,31.8,32.2,78.3,,32.2,33.1,61.8,,33.1,32.8,66.4,,32.8,33.6,50.9,,33.6,34.0,44.2,,34.0,34.5,36.0,,34.4,34.5,34.6,,34.5,34.5,35.1,,34.5,34.8,30.1,,34.8,0.0,
13/12/2024 4:23:43 PM,97772,33.7,50.8,,33.6,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,33.5,54.2,,33.5,33.5,53.6,,33.5,32.9,65.1,,32.9,33.1,61.7,,33.1,33.5,54.3,,33.5,33.5,53.7,,33.5,33.7,49.4,,33.7,33.7,50.5,,33.7,34.4,36.2,,34.4,34.3,38.7,,34.3,34.4,36.3,,34.4,31.6,89.1,,31.6,31.9,84.1,,31.8,32.2,78.0,,32.2,33.1,61.8,,33.1,32.8,66.4,,32.8,33.7,50.8,,33.7,34.0,44.2,,34.0,34.5,36.0,,34.4,34.5,34.5,,34.5,34.5,35.1,,34.5,34.8,30.1,,34.8,0.0,
