File_name,Runtime,Tsk_All,P_All,Clo_All,Teq_All,PMV_All,PPD_All,SET_All,ET_All,Tsk_Group A,P_Group A,Clo_Group A,Teq_Group A,PMV_Group A,PPD_Group A,SET_Group A,ET_Group A,Tsk_Group B,P_Group B,Clo_Group B,Teq_Group B,PMV_Group B,PPD_Group B,SET_Group B,ET_Group B,Tsk_Crown,P_Crown,Clo_Crown,Teq_Crown,Tsk_Head,P_Head,Clo_Head,Teq_Head,Tsk_Left Chest,P_Left Chest,Clo_Left Chest,Teq_Left Chest,Tsk_Right Chest,P_Right Chest,Clo_Right Chest,Teq_Right Chest,Tsk_Left Back,P_Left Back,Clo_Left Back,Teq_Left Back,Tsk_Right Back,P_Right Back,Clo_Right Back,Teq_Right Back,Tsk_Abdomen,P_Abdomen,Clo_Abdomen,Teq_Abdomen,Tsk_Buttocks,P_Buttocks,Clo_Buttocks,Teq_Buttocks,Tsk_Left Upper Arm,P_Left Upper Arm,Clo_Left Upper Arm,Teq_Left Upper Arm,Tsk_Right Upper Arm,P_Right Upper Arm,Clo_Right Upper Arm,Teq_Right Upper Arm,Tsk_Left Forearm,P_Left Forearm,Clo_Left Forearm,Teq_Left Forearm,Tsk_Right Forearm,P_Right Forearm,Clo_Right Forearm,Teq_Right Forearm,Tsk_Left Hand,P_Left Hand,Clo_Left Hand,Teq_Left Hand,Tsk_Right Hand,P_Right Hand,Clo_Right Hand,Teq_Right Hand,Tsk_Left Front Thigh,P_Left Front Thigh,Clo_Left Front Thigh,Teq_Left Front Thigh,Tsk_Right Front Thigh,P_Right Front Thigh,Clo_Right Front Thigh,Teq_Right Front Thigh,Tsk_Left Back Thigh,P_Left Back Thigh,Clo_Left Back Thigh,Teq_Left Back Thigh,Tsk_Right Back Thigh,P_Right Back Thigh,Clo_Right Back Thigh,Teq_Right Back Thigh,Tsk_Left Lower Leg,P_Left Lower Leg,Clo_Left Lower Leg,Teq_Left Lower Leg,Tsk_Right Lower Leg,P_Right Lower Leg,Clo_Right Lower Leg,Teq_Right Lower Leg,Tsk_Left Foot,P_Left Foot,Clo_Left Foot,Teq_Left Foot,Tsk_Right Foot,P_Right Foot,Clo_Right Foot,Teq_Right Foot,Reference_time
2025-02-01_ID0_NoPCS_Ta25_TskControl34.csv,594002.0,34.0,53.419999999999995,,34.0,3.0,99.2,31.2,34.0,34.0,59.4,,34.0,3.0,99.2,31.2,34.0,34.0,34.32000000000001,,34.0,3.0,99.2,31.2,34.0,34.0,48.9,,34.0,34.0,18.080000000000002,,34.0,34.0,27.379999999999995,,34.0,34.0,31.1,,34.0,34.0,36.580000000000005,,34.0,34.0,40.99999999999999,,34.0,34.0,56.48,,34.0,34.0,34.32000000000001,,34.0,34.0,44.7,,34.0,34.0,54.52,,34.0,34.0,58.36,,34.0,34.0,74.28,,34.0,34.0,97.82000000000001,,34.0,34.0,86.98,,34.0,34.0,57.42,,34.0,34.0,62.379999999999995,,34.0,34.0,68.05999999999999,,34.0,34.0,69.7,,34.0,34.0,66.82000000000001,,34.0,34.0,65.92,,34.0,34.0,48.779999999999994,,34.0,34.0,45.3,,34.0,2025-02-01 16:25:44
2025-02-01_ID1_Small desk fan (black)_Ta25_TskControl34.csv,598322.0,34.0,54.32000000000001,,34.0,3.0,99.2,31.2,34.0,34.0,55.94,,34.0,3.0,99.2,31.2,34.0,34.0,31.419999999999998,,34.0,3.0,99.2,31.2,34.0,34.0,61.5,,34.0,34.0,15.440000000000001,,34.0,34.0,28.46,,34.0,34.0,34.2,,34.0,34.0,37.46,,34.0,34.0,41.6,,34.0,34.0,54.88000000000001,,34.0,34.0,31.419999999999998,,34.0,34.0,45.099999999999994,,34.0,34.0,55.8,,34.0,34.0,67.9,,34.0,34.0,82.32,,34.0,34.0,116.28,,34.0,34.0,100.4,,34.0,34.0,55.4,,34.0,34.0,60.68000000000001,,34.0,34.0,69.78,,34.0,34.0,70.23999999999998,,34.0,34.0,61.660000000000004,,34.0,34.0,62.98,,34.0,34.0,43.199999999999996,,34.0,34.0,44.00000000000001,,34.0,2025-02-01 17:37:44
2025-02-01_ID1_Small desk fan (grey)_High_Ta25_TskControl34.csv,597152.0,34.0,54.46666666666666,,34.0,3.0,99.2,31.2,34.0,34.0,56.96666666666667,,34.0,3.0,99.2,31.2,34.0,34.0,31.183333333333334,,34.0,3.0,99.2,31.2,34.0,34.0,88.83333333333333,,34.0,34.0,20.233333333333334,,34.0,34.0,28.883333333333336,,34.0,34.0,31.366666666666664,,34.0,34.0,37.083333333333336,,34.0,34.0,43.23333333333333,,34.0,34.0,53.45000000000001,,34.0,34.0,31.183333333333334,,34.0,34.0,46.15,,34.0,34.0,52.03333333333333,,34.0,34.0,66.13333333333334,,34.0,34.0,75.03333333333333,,34.0,34.0,109.14999999999999,,34.0,34.0,88.53333333333332,,34.0,34.0,56.5,,34.0,34.0,58.550000000000004,,34.0,34.0,69.06666666666668,,34.0,34.0,69.76666666666667,,34.0,34.0,62.31666666666666,,34.0,34.0,63.96666666666667,,34.0,34.0,44.916666666666664,,34.0,34.0,44.81666666666666,,34.0,2025-02-01 17:18:14
2025-02-01_ID1_Small desk fan (grey)_Low_Ta25_TskControl34.csv,595142.0,34.0,53.86,,34.0,3.0,99.2,31.2,34.0,34.0,57.260000000000005,,34.0,3.0,99.2,31.2,34.0,34.0,34.14,,34.0,3.0,99.2,31.2,34.0,34.0,58.739999999999995,,34.0,34.0,19.24,,34.0,34.0,27.22,,34.0,34.0,31.119999999999997,,34.0,34.0,37.44,,34.0,34.0,41.86,,34.0,34.0,56.5,,34.0,34.0,34.14,,34.0,34.0,43.940000000000005,,34.0,34.0,54.04,,34.0,34.0,63.620000000000005,,34.0,34.0,73.67999999999999,,34.0,34.0,105.93999999999998,,34.0,34.0,90.4,,34.0,34.0,55.82000000000001,,34.0,34.0,62.48,,34.0,34.0,68.67999999999999,,34.0,34.0,71.02,,34.0,34.0,62.660000000000004,,34.0,34.0,64.46000000000001,,34.0,34.0,46.12,,34.0,34.0,45.42,,34.0,2025-02-01 16:44:44
2025-02-01_ID1_Small desk fan (grey)_Mid_Ta25_TskControl34.csv,596012.0,34.0,53.616666666666674,,34.0,3.0,99.2,31.2,34.0,34.0,56.38333333333333,,34.0,3.0,99.2,31.2,34.0,34.0,32.36666666666667,,34.0,3.0,99.2,31.2,34.0,34.0,62.23333333333334,,34.0,34.0,19.366666666666667,,34.0,34.0,26.983333333333334,,34.0,34.0,30.16666666666667,,34.0,34.0,37.083333333333336,,34.0,34.0,41.66666666666667,,34.0,34.0,55.666666666666664,,34.0,34.0,32.36666666666667,,34.0,34.0,44.6,,34.0,34.0,54.083333333333336,,34.0,34.0,64.63333333333333,,34.0,34.0,76.5,,34.0,34.0,109.0,,34.0,34.0,88.96666666666668,,34.0,34.0,55.300000000000004,,34.0,34.0,60.15,,34.0,34.0,68.45,,34.0,34.0,71.18333333333335,,34.0,34.0,62.58333333333332,,34.0,34.0,62.76666666666666,,34.0,34.0,44.85,,34.0,34.0,44.46666666666667,,34.0,2025-02-01 16:59:14
2025-02-01_ID3_Midiam evaporative cooler (purple)_Level1_Ta25_TskControl34.csv,599312.0,34.0,53.73333333333333,,34.0,3.0,99.2,31.2,34.0,34.0,56.98333333333334,,34.0,3.0,99.2,31.2,34.0,34.0,31.850000000000005,,34.0,3.0,99.2,31.2,34.0,34.0,64.08333333333333,,34.0,34.0,16.433333333333334,,34.0,34.0,30.316666666666666,,34.0,34.0,32.26666666666667,,34.0,34.0,34.66666666666667,,34.0,34.0,38.71666666666667,,34.0,34.0,54.449999999999996,,34.0,34.0,31.850000000000005,,34.0,34.0,47.13333333333333,,34.0,34.0,51.43333333333333,,34.0,34.0,68.48333333333333,,34.0,34.0,77.66666666666667,,34.0,34.0,107.23333333333333,,34.0,34.0,95.55000000000001,,34.0,34.0,54.1,,34.0,34.0,60.53333333333333,,34.0,34.0,66.85000000000001,,34.0,34.0,71.73333333333333,,34.0,34.0,63.68333333333334,,34.0,34.0,64.94999999999999,,34.0,34.0,45.11666666666667,,34.0,34.0,44.46666666666667,,34.0,2025-02-01 17:54:14
2025-02-01_ID3_Midiam evaporative cooler (purple)_Level2_Ta25_TskControl34.csv,601322.0,34.0,56.58,,34.0,3.0,99.2,31.2,34.0,34.0,58.94,,34.0,3.0,99.2,31.2,34.0,34.0,33.160000000000004,,34.0,3.0,99.2,31.2,34.0,34.0,91.78,,34.0,34.0,17.5,,34.0,34.0,34.50000000000001,,34.0,34.0,33.839999999999996,,34.0,34.0,37.059999999999995,,34.0,34.0,41.260000000000005,,34.0,34.0,56.779999999999994,,34.0,34.0,33.160000000000004,,34.0,34.0,48.220000000000006,,34.0,34.0,54.52,,34.0,34.0,67.68,,34.0,34.0,80.12,,34.0,34.0,110.7,,34.0,34.0,93.46000000000001,,34.0,34.0,56.2,,34.0,34.0,63.64000000000001,,34.0,34.0,69.7,,34.0,34.0,73.3,,34.0,34.0,65.74,,34.0,34.0,67.47999999999999,,34.0,34.0,46.14,,34.0,34.0,45.64,,34.0,2025-02-01 18:27:45
2025-02-01_ID3_Midiam evaporative cooler (purple)_Level3_Ta25_TskControl34.csv,601862.0,34.0,56.620000000000005,,34.0,3.0,99.2,31.2,34.0,34.0,58.620000000000005,,34.0,3.0,99.2,31.2,34.0,34.0,33.4,,34.0,3.0,99.2,31.2,34.0,34.0,106.96,,34.0,34.0,18.640000000000004,,34.0,34.0,33.62,,34.0,34.0,34.56,,34.0,34.0,38.660000000000004,,34.0,34.0,40.980000000000004,,34.0,34.0,55.9,,34.0,34.0,33.4,,34.0,34.0,48.1,,34.0,34.0,54.04,,34.0,34.0,67.47999999999999,,34.0,34.0,76.8,,34.0,34.0,110.16,,34.0,34.0,90.92,,34.0,34.0,56.1,,34.0,34.0,61.18000000000001,,34.0,34.0,70.17999999999999,,34.0,34.0,72.04,,34.0,34.0,65.32000000000001,,34.0,34.0,66.36,,34.0,34.0,46.52,,34.0,34.0,46.12,,34.0,2025-02-01 18:36:45
2025-02-01_ID3_Midiam evaporative cooler (purple)_Level4_Ta25_TskControl34.csv,602462.0,34.0,56.36,,34.0,3.0,99.2,31.2,34.0,34.0,58.379999999999995,,34.0,3.0,99.2,31.2,34.0,34.0,31.259999999999998,,34.0,3.0,99.2,31.2,34.0,34.0,118.75999999999999,,34.0,34.0,19.380000000000003,,34.0,34.0,32.94,,34.0,34.0,33.32,,34.0,34.0,40.6,,34.0,34.0,39.98,,34.0,34.0,54.88000000000001,,34.0,34.0,31.259999999999998,,34.0,34.0,47.68,,34.0,34.0,53.6,,34.0,34.0,66.53999999999999,,34.0,34.0,73.94,,34.0,34.0,103.78,,34.0,34.0,87.12,,34.0,34.0,56.120000000000005,,34.0,34.0,60.65999999999999,,34.0,34.0,70.3,,34.0,34.0,71.68,,34.0,34.0,64.53999999999999,,34.0,34.0,66.42,,34.0,34.0,45.99999999999999,,34.0,34.0,46.04,,34.0,2025-02-01 18:46:45
2025-02-03_ID0_NoPCS_Ta25_TskControl34.csv,773582.0,34.0,53.46,,34.0,3.0,99.2,31.2,34.0,34.0,59.0,,34.0,3.0,99.2,31.2,34.0,34.0,31.96,,34.0,3.0,99.2,31.2,34.0,34.0,53.86,,34.0,34.0,18.6,,34.0,34.0,29.02,,34.0,34.0,30.48,,34.0,34.0,35.48,,34.0,34.0,39.160000000000004,,34.0,34.0,55.67999999999999,,34.0,34.0,31.96,,34.0,34.0,46.779999999999994,,34.0,34.0,51.64000000000001,,34.0,34.0,63.14,,34.0,34.0,72.58,,34.0,34.0,96.13999999999999,,34.0,34.0,90.22,,34.0,34.0,57.760000000000005,,34.0,34.0,63.3,,34.0,34.0,69.05999999999999,,34.0,34.0,68.98,,34.0,34.0,65.67999999999999,,34.0,34.0,66.93999999999998,,34.0,34.0,45.68,,34.0,34.0,45.08,,34.0,2025-02-03 18:18:48
